"F [GHz]","Y(1,1) []"
4.70854271356784,8.79635208537555e-16 - 15.2919576111979i
4.72361809045226,7.81418463150419e-15 - 15.0211459806332i
4.73869346733668,-8.57195262102072e-16 - 14.7537887363844i
4.75376884422111,-5.07888617228072e-15 - 14.4897847906177i
4.76884422110553,2.50826646687012e-15 - 14.2290368388816i
4.78391959798995,0 - 13.9714511260877i
4.79899497487437,4.08114075336543e-15 - 13.7169372396063i
4.81407035175879,2.4202190691529e-15 - 13.4654079239944i
4.82914572864322,3.19013285146306e-15 - 13.2167789133531i
4.84422110552764,-2.36579935245681e-15 - 12.9709687783303i
4.85929648241206,2.33979255759556e-15 - 12.7278987855008i
4.87437185929648,1.54303646419955e-15 - 12.4874927673674i
4.8894472361809,2.29006225084588e-15 - 12.249677001597i
4.90452261306533,1.51086179441932e-15 - 12.0143800983827i
4.91959798994975,1.49548295235337e-15 - 11.7815328950271i
4.93467336683417,-4.44167353054231e-15 - 11.5510683569983i
4.94974874371859,7.33036618838055e-16 - 11.3229214848324i
4.96482412060301,2.90403288999707e-15 - 11.0970292263515i
4.97989949748744,1.43837529068381e-15 - 10.8733303937388i
4.99497487437186,1.42513809109185e-15 - 10.6517655850765i
5.01005025125628,1.41229363120825e-15 - 10.4322771099975i
5.0251256281407,-1.39983114337462e-15 - 10.214808919147i
5.04020100502513,3.46935071799169e-15 - 9.99930653717937i
5.05527638190955,3.44002782638349e-15 - 9.78571699904682i
5.07035175879397,5.45853652654569e-15 - 9.57398878935985i
5.08542713567839,1.35360012195473e-15 - 9.36407178462005i
5.10050251256281,4.70015101585568e-15 - 9.15591719814358i
5.11557788944724,-3.33131541807165e-15 - 8.94947752750933i
5.13065326633166,2.64493922235012e-15 - 8.74470650437992i
5.14572864321608,1.31272279420498e-15 - 8.54155904655489i
5.1608040201005,1.9549172839626e-15 - 8.33999121212677i
5.17587939698492,4.5294499530857e-15 - 8.13996015562035i
5.19095477386935,6.42633469374544e-15 - 7.94142408600375i
5.20603015075377,3.83005990690065e-15 - 7.74434222646778i
5.22110552763819,1.58547651005191e-15 - 7.54867477587721i
5.23618090452261,-1.2603444605327e-15 - 7.35438287180384i
5.25125628140704,2.50514086668866e-15 - 7.16142855505701i
5.26633165829146,6.53653031505361e-15 - 6.96977473563305i
5.28140703517588,-4.02281043263059e-15 - 6.77938516000886i
5.2964824120603,-3.07692106082207e-15 - 6.59022437971078i
5.31155778894472,3.36597273886701e-15 - 6.40225772109286i
5.32663316582915,2.4348958089725e-15 - 6.21545125626295i
5.34170854271357,4.84454862514667e-15 - 6.02977177509862i
5.35678391959799,1.50631662781737e-15 - 5.84518675829766i
5.37185929648241,-3.59757593072533e-15 - 5.6616643514116i
5.38693467336683,3.28225970386624e-15 - 5.47917333981277i
5.40201005025126,1.48515035855489e-15 - 5.29768312454845i
5.41708542713568,-1.62649026453849e-15 - 5.11716369903784i
5.4321608040201,4.1226165019808e-15 - 4.93758562656965i
5.44723618090452,2.9327049104678e-15 - 4.75892001856019i
5.46231155778894,2.77512380142518e-15 - 4.58113851353375i
5.47738693467337,7.27537985431691e-15 - 4.40421325678829i
5.49246231155779,2.60964357846381e-15 - 4.22811688071142i
5.50753768844221,-1.44476573101201e-16 - 4.05282248571232i
5.52261306532663,-5.75985424608981e-16 - 3.87830362173659i
5.53768844221106,-2.58370558797777e-15 - 3.70453427033179i
5.55276381909548,1.78880960971197e-15 - 3.53148882723157i
5.5678391959799,4.13808960394739e-15 - 3.35914208542662i
5.58291457286432,6.61708123743893e-15 - 3.18746921869025i
5.59798994974874,-1.41934708797321e-15 - 3.01644576552532i
5.61306532663317,1.98223375847411e-15 - 2.84604761349747i
5.62814070351759,9.25271384373676e-15 - 2.67625098391673i
5.64321608040201,2.64297185399598e-15 - 2.50703241682517i
5.65829145728643,-7.0337480360978e-16 - 2.33836875624157i
5.67336683417085,-1.40411963037419e-16 - 2.17023713560426i
5.68844221105528,3.88969774815995e-15 - 2.00261496333924i
5.7035175879397,9.13152413710316e-15 - 1.83547990845901i
5.71859296482412,7.77326520269331e-15 - 1.66880988606549i
5.73366834170854,-1.95385672266332e-15 - 1.5025830425829i
5.74874371859297,2.35233887872955e-15 - 1.33677774046997i
5.76381909547739,3.69893239938912e-15 - 1.17137254204478i
5.77889447236181,-2.64345556572749e-15 - 1.00634619186418i
5.79396984924623,3.03679809600513e-15 - 0.841677596786145i
5.80904522613065,6.42583881132527e-16 - 0.677345802306833i
5.82412060301508,-1.80313107575339e-15 - 0.5133299628186i
5.8391959798995,6.35536612553698e-16 - 0.349609301699681i
5.85427135678392,2.04687998091993e-15 - 0.186163053814474i
5.86934673366834,2.45071942385474e-15 - 0.0229703762579816i
5.88442211055276,-1.22981656342211e-15 + 0.13998980136431i
5.89949748743719,3.64266954133269e-15 + 0.302739049659662i
5.91457286432161,4.87070264572866e-15 + 0.465299984164346i
5.92964824120603,-3.34263197825554e-15 + 0.627697480062299i
5.94472361809045,7.21033373849959e-16 + 0.789961795887425i
5.95979899497487,8.95407369266324e-16 + 0.952138402803422i
5.9748743718593,-1.05276572418569e-15 + 1.1143308004307i
