"Freq [GHz]","Y(1,1) [mSie]"
6.38190954773869,0.0031301050199799 + 3.39092691919137i
6.39698492462312,0.00315069710794907 + 3.55006190806263i
6.41206030150754,0.00317178417012234 + 3.70950756245893i
6.42713567839196,0.00319337423029674 + 3.86928397637479i
6.44221105527638,0.00321547571306455 + 4.02941138273257i
6.4572864321608,0.00323809743675698 + 4.1899101658766i
6.47236180904523,0.0032612486094208 + 4.35080087403746i
6.48743718592965,0.00328493882743925 + 4.51210423180256i
6.50251256281407,0.00330917807621327 + 4.67384115262683i
6.51758793969849,0.00333397673278185 + 4.83603275141465i
6.53266331658291,0.00335934557006024 + 4.99870035720225i
6.54773869346734,0.00338529576246541 + 5.16186552596879i
6.56281407035176,0.00341183889294455 + 5.32555005360251i
6.57788944723618,0.00343898696108051 + 5.48977598904744i
6.5929648241206,0.00346675239235891 + 5.65456564765597i
6.60804020100502,0.00349514804847425 + 5.81994162477117i
6.62311557788945,0.00352418723855228 + 5.98592680956315i
6.63819095477387,0.00355388373139613 + 6.15254439914287i
6.65326633165829,0.00358425176861751 + 6.31981791297728i
6.66834170854271,0.00361530607870851 + 6.48777120762954i
6.68341708542714,0.00364706189193766 + 6.65642849184788i
6.69849246231156,0.00367953495632921 + 6.82581434202762i
6.71356783919598,0.00371274155435604 + 6.99595371807084i
6.7286432160804,0.0037466985207318 + 7.16687197966856i
6.74371859296483,0.0037814232610488 + 7.33859490303152i
6.75879396984925,0.00381693377149477 + 7.51114869809546i
6.77386934673367,0.00385324865950653 + 7.68456002622852i
6.78894472361809,0.00389038716548233 + 7.85885601846845i
6.80402010050251,0.00392836918563853 + 8.03406429431884i
6.81909547738694,0.003967215295879 + 8.21021298113459i
6.83417085427136,0.00400694677700369 + 8.38733073412751i
6.84924623115578,0.00404758564094838 + 8.56544675702498i
6.8643216080402,0.00408915465846279 + 8.74459082341552i
6.87939698492462,0.00413167738807701 + 8.92479329881644i
6.89447236180905,0.00417517820644307 + 9.10608516350069i
6.90954773869347,0.00421968234019504 + 9.28849803612182i
6.92462311557789,0.00426521589930386 + 9.47206419817706i
6.93969849246231,0.00431180591214153 + 9.65681661935138i
6.95477386934673,0.00435948036212455 + 9.84278898378689i
6.96984924623116,0.00440826822632801 + 10.0300157173243i
6.98492462311558,0.00445819951580606 + 10.2185320157657i
7,0.00450930531807416 + 10.4083738742101i
