"Freq [GHz]","Y(1,1) [mSie]"
4.69346733668342,0.00168958142624632 + 0.681529414525688i
4.70854271356784,0.00170042367794104 + 0.688241363835977i
4.72361809045226,0.0017113066143177 + 0.695538909310861i
4.73869346733668,0.00172223783143531 + 0.703536734774571i
4.75376884422111,0.00173319096612393 + 0.712381612098519i
4.76884422110553,0.00174419958225236 + 0.722264408291394i
4.78391959798995,0.00175525959093961 + 0.73343795556888i
4.79899497487437,0.00176634173921388 + 0.746244501057846i
4.81407035175879,0.00177746919087863 + 0.761159030839702i
4.82914572864322,0.00178868545147852 + 0.778860470736614i
4.84422110552764,0.00179994605769095 + 0.80035438776275i
4.85929648241206,0.00181125938392548 + 0.827196321334053i
4.87437185929648,0.00182267889762338 + 0.861927153277859i
4.8894472361809,0.00183420001332579 + 0.909000348533288i
4.90452261306533,0.00184593439386051 + 0.976998403692675i
4.91959798994975,0.00185797139997002 + 1.08486216766593i
4.93467336683417,0.00187067883951037 + 1.28427076399865i
4.94974874371859,0.00188555172060664 + 1.78419443670814i
4.96482412060301,0.00192301678648775 + 5.45373174308414i
4.97989949748744,0.00188467129859636 - 1.5729664053854i
4.99497487437186,0.00190531795201065 - 0.260902298577294i
5.01005025125628,0.00191919003707041 + 0.075556870667819i
5.0251256281407,0.00193177920948804 + 0.230495399024336i
5.04020100502513,0.00194395496330266 + 0.320129368669701i
5.05527638190955,0.00195591902969262 + 0.378915694999565i
5.07035175879397,0.00196782463973721 + 0.42069624553527i
5.08542713567839,0.00197968486771036 + 0.452109002664776i
5.10050251256281,0.00199151288910953 + 0.476735003879056i
5.11557788944724,0.0020033595948775 + 0.496676432378566i
5.13065326633166,0.0020152127994978 + 0.513248574167699i
5.14572864321608,0.00202705437290261 + 0.52731651371123i
5.1608040201005,0.00203894049195281 + 0.539472541701946i
5.17587939698492,0.00205085453873625 + 0.550135908367036i
5.19095477386935,0.00206276150914421 + 0.559611653486248i
5.20603015075377,0.00207470651996772 + 0.568127091807004i
5.22110552763819,0.00208666937487549 + 0.57585500416057i
5.23618090452261,0.00209866409873374 + 0.582929207251567i
5.25125628140704,0.00211065856066835 + 0.589454845476595i
5.26633165829146,0.00212269286909364 + 0.595515773515917i
5.28140703517588,0.00213475750022113 + 0.601179662935189i
5.2964824120603,0.0021468154317779 + 0.606501813249137i
5.31155778894472,0.00215891124985149 + 0.611527823294888i
5.32663316582915,0.00217101573998769 + 0.616295712902895i
5.34170854271357,0.00218313634843176 + 0.620837499811752i
5.35678391959799,0.00219525204722675 + 0.625180398167023i
5.37185929648241,0.00220738901605286 + 0.629347843479218i
5.38693467336683,0.00221947003721724 + 0.633360254633237i
5.40201005025126,0.00223155112668768 + 0.637235830836354i
5.41708542713568,0.00224357720873063 + 0.640991168888682i
5.4321608040201,0.00225551201888509 + 0.644642236755553i
5.44723618090452,0.00226730539910195 + 0.648205561360768i
5.46231155778894,0.00227887230890138 + 0.651700403822391i
5.47738693467337,0.00229001213947533 + 0.655153879429689i
5.49246231155779,0.00230029632296343 + 0.658614402571289i
5.50753768844221,0.00230861108325436 + 0.662199727337573i
5.52261306532663,0.00231045396598287 + 0.666360167844874i
5.53768844221106,0.00224817942185432 + 0.676883839412987i
5.55276381909548,0.00241282531000699 + 0.664880134637758i
5.5678391959799,0.00239468930493175 + 0.670791986907833i
5.58291457286432,0.00239984525845496 + 0.674412037873799i
5.59798994974874,0.00240922303746806 + 0.677579034901579i
5.61306532663317,0.00242017280994359 + 0.680558425502253i
5.62814070351759,0.00243184972851622 + 0.683430255597047i
5.64321608040201,0.00244393725656728 + 0.686227975948327i
5.65829145728643,0.00245630565213033 + 0.688968772818869i
5.67336683417085,0.00246886492102694 + 0.691662755877138i
5.68844221105528,0.00248159088508229 + 0.694316586838042i
5.7035175879397,0.00249441681977462 + 0.696935031789485i
5.71859296482412,0.00250733194981372 + 0.699521642786209i
5.73366834170854,0.00252035012771718 + 0.702079352887691i
5.74874371859297,0.00253342575888334 + 0.704610476211275i
5.76381909547739,0.00254659320173723 + 0.707117008686117i
5.77889447236181,0.00255981801907614 + 0.709600692447916i
5.79396984924623,0.00257311190323215 + 0.7120630486042i
5.80904522613065,0.00258645726210299 + 0.714505420555017i
5.82412060301508,0.0025998781524533 + 0.7169290425041i
5.8391959798995,0.0026133785597055 + 0.719334954165024i
5.85427135678392,0.00262693540812217 + 0.721724202073598i
5.86934673366834,0.00264056563408924 + 0.724097696672189i
5.88442211055276,0.00265429979374276 + 0.726456236249708i
5.89949748743719,0.00266812344952398 + 0.728800642163017i
5.91457286432161,0.00268207482185207 + 0.731131605427137i
5.92964824120603,0.00269615154467302 + 0.733449789128102i
5.94472361809045,0.0027104425924304 + 0.735755797826959i
5.95979899497487,0.002724958767096 + 0.73805018397017i
5.9748743718593,0.00273986739004412 + 0.740333471394408i
5.98994974874372,0.00275535660407308 + 0.742606115565118i
6.00502512562814,0.00277194414252957 + 0.744868405906166i
6.02010050251256,0.0027908703088614 + 0.74712046048984i
6.03517587939699,0.00281695728112903 + 0.749361260268938i
