"Freq [GHz]","Y(1,1) [mSie]"
4.72361809045226,0.00302920228175266 - 16.9122926081037i
4.73869346733668,0.00300729364967098 - 16.6311743120489i
4.75376884422111,0.00298609755341673 - 16.3543025139739i
4.76884422110553,0.0029655946675858 - 16.0814713298155i
4.78391959798995,0.0029457662256307 - 15.8125004357175i
4.79899497487437,0.00292659406858794 - 15.5472292651626i
4.81407035175879,0.00290806066871509 - 15.2855128679945i
4.82914572864322,0.0028901491368366 - 15.0272188920006i
4.84422110552764,0.00287284321922594 - 14.7722253394851i
4.85929648241206,0.00285612728748948 - 14.5204188695376i
4.87437185929648,0.00283998632412589 - 14.2716934915139i
4.8894472361809,0.00282440590524725 - 14.0259495436437i
4.90452261306533,0.00280937218172102 - 13.7830928826369i
4.91959798994975,0.0027948718592504 - 13.5430342316599i
4.93467336683417,0.00278089217823585 - 13.3056886487648i
4.94974874371859,0.0027674208935424 - 13.0709750880794i
4.96482412060301,0.00275444625441885 - 12.838816033279i
4.97989949748744,0.00274195698489294 - 12.6091371880121i
4.99497487437186,0.00272994226460857 - 12.3818672116819i
5.01005025125628,0.00271839171014964 - 12.1569374917174i
5.0251256281407,0.00270729535706962 - 11.9342819454848i
5.04020100502513,0.00269664364232843 - 11.7138368465031i
5.05527638190955,0.00268642738744828 - 11.4955406707658i
5.07035175879397,0.00267663778218337 - 11.279333959839i
5.08542713567839,0.00266726636872785 - 11.0651591980756i
5.10050251256281,0.00265830502637961 - 10.8529607017972i
5.11557788944724,0.00264974595675945 - 10.6426845187034i
5.13065326633166,0.00264158166933379 - 10.4342783360824i
5.14572864321608,0.00263380496739219 - 10.2276913966475i
5.1608040201005,0.00262640893424792 - 10.0228744210279i
5.17587939698492,0.00261938691974457 - 9.8197795360967i
5.19095477386935,0.00261273252690104 - 9.61836020845578i
5.20603015075377,0.00260643959864401 - 9.41857118249743i
5.22110552763819,0.00260050220457092 - 9.22036842255076i
5.23618090452261,0.00259491462758417 - 9.02370905869239i
5.25125628140704,0.00258967135039977 - 8.82855133585799i
5.26633165829146,0.00258476704164062 - 8.63485456594115i
5.28140703517588,0.00258019654151099 - 8.44257908260617i
5.2964824120603,0.00257595484684312 - 8.25168619857526i
5.31155778894472,0.00257203709518319 - 8.06213816518007i
5.32663316582915,0.00256843854798584 - 7.87389813399103i
5.34170854271357,0.0025651545722593 - 7.68693012035969i
5.35678391959799,0.0025621806205838 - 7.50119896872553i
5.37185929648241,0.00255951220896908 - 7.3166703195554i
5.38693467336683,0.00255714489207652 - 7.13331057779534i
5.40201005025126,0.00255507423514456 - 6.95108688272656i
5.41708542713568,0.00255329578181813 - 6.76996707912617i
5.4321608040201,0.00255180501696367 - 6.5899196896418i
5.44723618090452,0.00255059732313956 - 6.41091388829564i
5.46231155778894,0.00254966792922102 - 6.23291947503928i
5.47738693467337,0.00254901184898421 - 6.05590685128463i
5.49246231155779,0.00254862380734085 - 5.87984699634001i
5.50753768844221,0.0025484981504105 - 5.70471144468122i
5.52261306532663,0.00254862873519362 - 5.53047226398872i
5.53768844221106,0.00254900879278338 - 5.35710203387928i
5.55276381909548,0.00254963075693772 - 5.18457382525646i
5.5678391959799,0.00255048604714378 - 5.01286118019619i
5.58291457286432,0.00255156479102704 - 4.84193809227104i
5.59798994974874,0.00255285546491195 - 4.67177898719565i
5.61306532663317,0.00255434442252633 - 4.5023587036456i
5.62814070351759,0.002556015268878 - 4.33365247405234i
5.64321608040201,0.00255784801579858 - 4.16563590510328i
5.65829145728643,0.00255981792465761 - 3.99828495755634i
5.67336683417085,0.0025618938917183 - 3.83157592478958i
