capSim:LastAdaptive
Problem Type:  C
C Units:pF, G Units:mSie
Reduce Matrix:  Original
Frequency:  5GHz

Capacitance Matrix
,Q0Pad1,Q0Pad2,Q1Pad1,Q1Pad2,Q2Pad1,Q2Pad2,Q3Pad1,Q3Pad2,Q4Pad1,Q4Pad2,Q5Pad1,Q5Pad2,Q6Pad1,Q6Pad2,Q7Pad1,Q7Pad2,R0Pad1,R0Pad2,R1Pad1,R1Pad2,R2Pad1,R2Pad2,R3Pad1,R3Pad2,R4Pad1,R4Pad2,R5Pad1,R5Pad2,R6Pad1,R6Pad2,R7Pad1,R7Pad2,
R3Pad1,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000, 0.07275,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000, 0.00000, 0.00000,-0.00000,-0.00000
R3Pad2,-0.00000,-0.00000,-0.00000,-0.00000,-0.00006,-0.00004,-0.01563,-0.00065,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.02626,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000
R4Pad1,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000, 0.07264,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000, 0.00000,-0.00000
R4Pad2,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00001,-0.00064,-0.01311,-0.00001,-0.00001,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.02443,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000
R5Pad1,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.07268,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000
R5Pad2,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00001,-0.00001,-0.00064,-0.01312,-0.00001,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.02444,-0.00000,-0.00000,-0.00000,-0.00000
R6Pad1,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000, 0.00000,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000, 0.07267,-0.00000,-0.00000,-0.00000
R6Pad2,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00059,-0.00949,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.02321,-0.00000,-0.00000
R7Pad1,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.07252,-0.00000
R7Pad2,-0.00000,-0.00000, 0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00059,-0.00949,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000,-0.00000, 0.02324
