"F [GHz]","Y(1,1) []"
6.68341708542714,1.86264521088167e-08 + 0.724130956584297i
6.69849246231156,1.86264511344965e-08 + 0.725906985042178i
6.71356783919598,1.86264529644891e-08 + 0.727681702966335i
6.7286432160804,1.86264532530342e-08 + 0.729455136335394i
6.74371859296483,1.86264501555695e-08 + 0.731227310421554i
6.75879396984925,1.86264506169469e-08 + 0.732998249816182i
6.77386934673367,1.86264537045806e-08 + 0.734767978454141i
6.78894472361809,1.86264555458324e-08 + 0.73653651963694i
6.80402010050251,1.8626453887771e-08 + 0.738303896054789i
6.81909547738694,1.86264485662422e-08 + 0.74007012980763i
6.83417085427136,1.8626447915874e-08 + 0.7418352424252i
6.84924623115578,1.86264521808453e-08 + 0.74359925488621i
6.8643216080402,1.86264544570171e-08 + 0.745362187636663i
6.87939698492462,1.86264518137648e-08 + 0.747124060607395i
6.89447236180905,1.86264540320019e-08 + 0.748884893230854i
6.90954773869347,1.86264517188966e-08 + 0.750644704457183i
6.92462311557789,1.86264510334406e-08 + 0.752403512769632i
6.93969849246231,1.86264526582771e-08 + 0.754161336199345i
6.95477386934673,1.86264542359461e-08 + 0.755918192339544i
6.96984924623116,1.86264487618617e-08 + 0.757674098359157i
6.98492462311558,1.86264527141685e-08 + 0.759429071015905i
7,1.86264551839036e-08 + 0.761183126668875i
